campaign,deployment,platform_name,latitude,longitude
BigFoot,BigFoot-D1_1999-May,Permanent Land Site,55.89,-98.48
BigFoot,BigFoot-D1_1999-May,Permanent Land Site,40.01,-88.29
BigFoot,BigFoot-D2_2000-Jun,Permanent Land Site,42.53,-72.17
BigFoot,BigFoot-D2_2000-Jun,Permanent Land Site,39.09,-96.57
BigFoot,BigFoot-D3_2000-Jul,Permanent Land Site,55.89,-98.48
BigFoot,BigFoot-D3_2000-Jul,Permanent Land Site,40.01,-88.29
BigFoot,BigFoot-D3_2000-Jul,Permanent Land Site,42.53,-72.17
BigFoot,BigFoot-D3_2000-Jul,Permanent Land Site,39.09,-96.57
BigFoot,BigFoot-D3_2000-Jul,Permanent Land Site,45.95,-90.27
BigFoot,BigFoot-D4_2001-Jun,Permanent Land Site,39.09,-96.57
BigFoot,BigFoot-D5_2001-Jul,Permanent Land Site,42.53,-72.17
BigFoot,BigFoot-D5_2001-Jul,Permanent Land Site,55.89,-98.48
BigFoot,BigFoot-D6_2001-Aug,Permanent Land Site,39.09,-96.57
BigFoot,BigFoot-D7_2001-Sep,Permanent Land Site,44.45,-121.57
BigFoot,BigFoot-D8_2002-July,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D8_2002-July,Permanent Land Site,45.95,-90.27
BigFoot,BigFoot-D8_2002-July,Permanent Land Site,55.89,-98.48
BigFoot,BigFoot-D9_2002-Aug,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D9_2002-Aug,Permanent Land Site,71.27,-156.61
BigFoot,BigFoot-D9_2002-Aug,Permanent Land Site,42.53,-72.17
BigFoot,BigFoot-D10_2002-Sep,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D11_2002-Nov,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D12_2003-Jun,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D13_2003-Jul,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D14_2003-Sep,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D15_2003-Nov,Permanent Land Site,34.35,-106.69
BigFoot,BigFoot-D16_2004-Feb,Permanent Land Site,-2.87,-54.95
